Name,Position,Wins,Hybrid Rating
Rodrigo Moreno,Forward,4,-0.21953066176569117
Kasper Schmeichel,Goalkeeper,91,0.7482662111259433
Danny Ward,Goalkeeper,1,-0.238923415163164
Eldin Jakupovic,Goalkeeper,9,-0.1497398346606513
James Justin,Defender,8,-0.17061263742130306
Çaglar Söyüncü,Defender,20,-0.14929888982595088
Wes Morgan,Defender,70,-0.06024195645762473
Jonny Evans,Defender,145,0.49457075399287675
Filip Benkovic,Defender,0,-0.24067687324547546
Daniel Amartey,Defender,17,-0.22242117163048564
Ricardo Pereira,Defender,29,0.0406921437190825
Christian Fuchs,Defender,48,0.1264572210393306
Luke Thomas,Defender,1,-0.21562323523497687
Timothy Castagne,Defender,2,-0.21544171505230028
Demarai Gray,Midfielder,53,0.17281553242857048
Youri Tielemans,Midfielder,25,0.07089760856331968
James Maddison,Midfielder,31,0.10255487173554538
Marc Albrighton,Midfielder,91,0.6807646864865942
Harvey Barnes,Midfielder,26,0.08751253317552483
Hamza Choudhury,Midfielder,16,-0.20559378300468015
Matty James,Midfielder,12,-0.18727244815277558
Adrien Silva,Midfielder,4,-0.20006961624920325
Wilfred Ndidi,Midfielder,52,0.08985493018905691
Dennis Praet,Midfielder,13,-0.1465040803152194
Rachid Ghezzal,Midfielder,5,-0.22028553062442574
Nampalys Mendy,Midfielder,20,-0.1504845866616284
Cengiz Ünder,Midfielder,0,-0.24067687324547546
Jamie Vardy,Forward,86,0.6126371617184426
Islam Slimani,Forward,14,-0.13570850775228394
Kelechi Iheanacho,Forward,42,0.14466182749885678
Ayoze Pérez,Forward,58,0.390897450824139
Fousseni Diabaté,Forward,3,-0.18926670479044164
Loris Karius,Goalkeeper,17,-0.1044214893021554
Alisson,Goalkeeper,55,0.07471510402099221
Adrián,Goalkeeper,56,0.2593678540676382
Caoimhin Kelleher,Goalkeeper,0,-0.23624029042374792
Kamil Grabara,Goalkeeper,0,-0.23624029042374792
Virgil van Dijk,Defender,98,0.4364724479621284
Joseph Gomez,Defender,52,0.07847162644288334
Andrew Robertson,Defender,86,0.5039223864627723
Joel Matip,Defender,58,0.10814694901382815
Trent Alexander-Arnold,Defender,74,0.38985001914316664
Neco Williams,Defender,4,-0.2018392946722993
Konstantinos Tsimikas,Defender,0,-0.24289516465633917
Nathaniel Phillips,Defender,0,-0.24067687324547546
Sepp van den Berg,Defender,0,-0.22958541619115666
Fabinho,Midfielder,46,0.0022699332026047975
Georginio Wijnaldum,Midfielder,111,0.6040838259110202
James Milner,Midfielder,272,1.84346647582345
Naby Keita,Midfielder,36,-0.029573044094313362
Jordan Henderson,Midfielder,185,1.2863236987133373
Alex Oxlade-Chamberlain,Midfielder,114,0.6034309966903277
Marko Grujic,Midfielder,4,-0.20880999913235251
Curtis Jones,Midfielder,6,-0.1802477651488451
Harry Wilson,Midfielder,7,-0.12772634133942418
Harvey Elliott,Midfielder,2,-0.20885309716715603
Xherdan Shaqiri,Midfielder,49,0.32441787965391206
Thiago,Midfielder,1,-0.25020937842333096
Roberto Firmino,Forward,115,0.9245993881160648
Sadio Mané,Forward,121,0.7652952000331212
Mohamed Salah,Forward,90,0.8614270917952448
Takumi Minamino,Forward,7,-0.22144257862070982
Rhian Brewster,Forward,0,-0.2340219990128842
Divock Origi,Forward,57,0.0645777158853669
Ben Woodburn,Forward,5,-0.2035753550124927
Diogo Jota,Forward,27,0.04818580089852612
Ederson,Goalkeeper,87,0.23843237277419513
Scott Carson,Goalkeeper,44,0.3166078902661055
Zack Steffen,Goalkeeper,0,-0.2451134560672029
Nathan Aké,Defender,52,0.056990817222061
Kyle Walker,Defender,183,0.9722921598874575
John Stones,Defender,90,0.2857146388676073
Oleksandr Zinchenko,Defender,34,-0.10359840259102071
Aymeric Laporte,Defender,50,0.07120928507557803
Benjamin Mendy,Defender,29,-0.03313971003307011
João Cancelo,Defender,12,-0.17984272656390934
Nicolás Otamendi,Defender,94,0.3177131482777801
Eric García,Defender,11,-0.18790334403355516
Patrick Roberts,Midfielder,0,-0.21714449349319506
Ilkay Gündogan,Midfielder,75,0.24326288791723813
Rodrigo,Midfielder,25,-0.08422064415216807
Kevin De Bruyne,Midfielder,109,1.2155251621877747
Bernardo Silva,Midfielder,81,0.36354706812038473
Fernandinho,Midfielder,156,0.49963448077704486
Phil Foden,Midfielder,38,-0.030065287305632585
Tommy Doyle,Midfielder,1,-0.21287267216589237
Adrián Bernabé,Midfielder,0,-0.23180370760202038
Ferran Torres,Forward,1,-0.2322508874109788
Raheem Sterling,Forward,161,1.230427175151065
Gabriel Jesus,Forward,80,0.415057064247435
Sergio Agüero,Forward,177,1.818721006743215
Riyad Mahrez,Forward,98,0.9178374110243651
Liam Delap,Forward,0,-0.2273671247802929
David de Gea,Goalkeeper,174,1.2660151449653083
Lee Grant,Goalkeeper,10,-0.10660109470374685
Sergio Romero,Goalkeeper,4,-0.21883058856640117
