Name,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist,rating21
Fernando Pacheco,3349.0,142.0,57.0,86.0,2218.1,9.0,55.0,3.0,3.0,0.0,0.0,329.0,642.0,1969.5,780.0,112.0,2235.9,1724.3,301.0,2345.3,1781.7,330.0,31.0,354.7,23.0,570.4,82.0
Finn Dahmen,270.0,20.0,10.0,11.0,148.6,0.0,9.2,1.0,1.0,0.0,0.0,9.0,26.0,93.3,59.0,16.0,99.6,97.4,27.0,56.4,74.6,34.0,1.0,6.3,2.0,37.8,63.0
Florian Müller,2790.0,152.0,46.0,110.0,2232.6,6.0,46.9,3.0,2.0,1.0,0.0,189.0,587.0,1012.2,1066.0,149.0,1156.7,1158.1,272.0,2194.2,1727.3,245.0,12.0,135.6,23.0,482.6,76.0
Fraser Forster,720.0,28.0,11.0,19.0,535.1,2.0,8.8,3.0,2.0,1.0,0.0,43.0,153.0,236.3,210.0,29.0,382.9,313.1,64.0,530.8,380.6,88.0,7.0,52.2,7.0,112.3,76.0
Frederik Rønnow,945.0,64.0,24.0,46.0,788.8,1.0,22.7,4.0,4.0,0.0,0.0,51.0,143.0,438.8,289.0,64.0,393.8,368.7,94.0,482.2,415.4,71.0,3.0,59.3,7.0,150.6,76.0
Gautier Larsonneur,3150.0,159.0,62.0,104.0,2226.1,6.0,52.6,10.0,8.0,1.0,1.0,221.0,455.0,1798.9,982.0,165.0,1288.5,1275.3,282.0,1024.4,1165.2,341.0,26.0,288.9,15.0,460.6,77.0
Gerónimo Rulli,180.0,8.0,4.0,4.0,100.0,0.0,2.7,0.0,0.0,0.0,0.0,15.0,32.0,111.8,77.0,16.0,60.1,61.9,19.0,64.3,83.6,23.0,0.0,0.0,0.0,26.8,82.0
Gian Crespi,90.0,1.0,0.0,1.0,100.0,1.0,0.4,0.0,0.0,0.0,0.0,8.0,13.0,61.5,31.0,4.0,32.3,27.0,11.0,27.3,31.2,8.0,0.0,0.0,0.0,9.2,49.0
Gianluca Pegolo,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,2.0,7.7,18.5,8.0,0.0,13.6,4.0,0.0,0.0,0.0,14.5,70.0
Gianluigi Buffon,720.0,17.0,5.0,14.0,516.7,3.0,4.9,3.0,2.0,1.0,0.0,33.0,74.0,324.7,242.0,44.0,193.7,238.4,62.0,192.0,214.7,81.0,2.0,17.4,5.0,106.7,82.0
Gianluigi Donnarumma,3330.0,125.0,38.0,90.0,2504.7,14.0,39.7,4.0,2.0,1.0,1.0,183.0,431.0,1766.5,1026.0,140.0,1203.3,1197.2,219.0,1375.7,1272.1,335.0,29.0,301.3,22.0,555.1,85.0
Gregor Kobel,2970.0,155.0,54.0,105.0,2124.8,5.0,48.7,7.0,5.0,2.0,0.0,138.0,337.0,1378.0,940.0,200.0,987.4,1002.5,276.0,692.7,812.0,282.0,20.0,304.7,17.0,429.5,75.0
Guglielmo Vicario,360.0,21.0,6.0,15.0,297.1,1.0,5.1,0.0,0.0,0.0,0.0,27.0,61.0,192.6,82.0,15.0,196.0,160.20000000000002,25.0,311.4,218.9,40.0,2.0,19.9,0.0,44.5,68.0
Hugo Lloris,3420.0,144.0,45.0,111.0,2863.1,12.0,46.9,10.0,10.0,0.0,0.0,202.0,489.0,1534.2,799.0,158.0,1761.9,1417.2,268.0,1684.7,1393.7,366.0,18.0,195.6,16.0,491.5,87.0
Illan Meslier,3150.0,177.0,52.0,134.0,2541.8,11.0,55.2,9.0,8.0,1.0,0.0,181.0,409.0,1695.8,1082.0,269.0,988.5,1069.2,266.0,1089.7,1098.0,198.0,21.0,321.2,20.0,485.2,69.0
Ionuț Radu,135.0,6.0,1.0,5.0,180.0,0.0,1.4,0.0,0.0,0.0,0.0,2.0,4.0,66.7,45.0,11.0,22.2,54.8,10.0,0.0,29.3,18.0,0.0,0.0,1.0,19.4,75.0
Ivor Pandur,332.0,13.0,6.0,7.0,176.7,0.0,5.4,0.0,0.0,0.0,0.0,13.0,60.0,76.7,79.0,8.0,186.7,150.8,22.0,400.0,249.4,26.0,1.0,20.0,2.0,64.6,69.0
Iván Villar,1781.0,72.0,30.0,47.0,1429.1,5.0,28.2,7.0,6.0,1.0,0.0,105.0,370.0,598.3,512.0,78.0,1063.1,871.3,172.0,1353.9,1059.8,211.0,18.0,175.7,15.0,330.4,68.0
